date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,corr_elevated,z_elevated,mean_abs_corr,z,z_rule,sigma_hat,sigma_star,lookback,corr_lookback_months,f_min,f_max,g_min,cash_ticker,cash_price_source,thin_history_tickers,include_thin,n_sleeves,n_thin_sleeves,n_panel_names_eligible,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2021-12-31,2022-01-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.7846552407741884,1.0,0.7846552407741884,False,False,True,0.47131882273022385,0.16711267492285517,mkt_vol,0.18070030914234875,0.14178744457805992,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.21534475922581162,0.00010767237961290582,0.5492586685419318,0.1569310481548377,0.07846552407741884,0.21534475922581164
2022-01-31,2022-02-28,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.7269641712944956,1.0,0.7269641712944956,False,False,True,0.5327259553008369,0.18149213892897453,mkt_vol,0.20072017244526846,0.14591637382376285,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.057691069479692714,2.8845534739846355e-05,0.508874919906147,0.14539283425889912,0.07269641712944956,0.27303582870550436
2022-02-28,2022-03-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.601139623059878,1.0,0.601139623059878,False,False,True,0.5628304938825653,0.23931986696836358,mkt_vol,0.25479506526606727,0.15316740949156069,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.12582454823461764,6.291227411730882e-05,0.42079773614191457,0.12022792461197561,0.060113962305987804,0.398860376940122
2022-03-31,2022-04-29,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.6514794749368954,1.0,0.6514794749368954,False,False,True,0.5452663773397546,0.22965446536202289,mkt_vol,0.24526894831428359,0.159787685666114,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.050339851877017394,2.5169925938508697e-05,0.45603563245582673,0.1302958949873791,0.06514794749368955,0.3485205250631046
2022-04-29,2022-05-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.644864646130948,0.5,0.322432323065474,True,True,True,0.6374935821605267,0.24386641071906018,mkt_vol,0.25555479974961576,0.16479825550760124,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.3290471518714214,0.00016452357593571069,0.22570262614583178,0.0644864646130948,0.0322432323065474,0.677567676934526
2022-05-31,2022-06-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.5432133580953316,0.5,0.2716066790476658,True,True,True,0.6270547146773281,0.31100892248258505,mkt_vol,0.32893047775613243,0.17867942940181045,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.050825644017808216,2.5412822008904107e-05,0.19012467533336602,0.05432133580953316,0.02716066790476658,0.7283933209523342
2022-06-30,2022-07-29,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.6021187842127829,0.5,0.30105939210639143,True,True,True,0.6742733266136866,0.29732972509765143,mkt_vol,0.3110904726613119,0.1873134171790091,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.02945271305872566,1.472635652936283e-05,0.210741574474474,0.060211878421278286,0.030105939210639143,0.6989406078936086
2022-07-29,2022-08-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.9271306030634122,0.5,0.4635653015317061,True,True,True,0.7488493030795723,0.19174883441287963,mkt_vol,0.20298233804244467,0.18819113748051314,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.16250590942531468,8.125295471265735e-05,0.32449571107219427,0.09271306030634123,0.046356530153170615,0.536434698468294
2022-08-31,2022-09-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.8783990860137462,0.5,0.4391995430068731,True,True,True,0.7436540238294443,0.20356580755216605,mkt_vol,0.21541631610629072,0.189221495180214,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.02436575852483297,1.2182879262416485e-05,0.30743968010481115,0.08783990860137462,0.04391995430068731,0.5608004569931269
2022-09-30,2022-10-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.7775521514215326,0.5,0.3887760757107663,True,True,True,0.7766486937594146,0.2390032038774413,mkt_vol,0.2471582428577954,0.19217842347564443,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.050423467296106805,2.5211733648053403e-05,0.2721432529975364,0.07775521514215326,0.03887760757107663,0.6112239242892337
