date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,left_tail_score,lt_median,skew,skew_estimator,left_tail_rule,sigma_hat,sigma_star,lookback,skew_lookback_months,g_min,f_min,f_max,cash_ticker,cash_price_source,thin_history_tickers,n_panel_names_eligible,n_null_names,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2023-04-28,2023-05-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.0613129805974495,0.6838417034717907,realized_amaya,cvar_5,0.13300679817301472,0.19718924107995775,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-05-31,2023-06-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.0613129805974495,0.8942820315639752,realized_amaya,cvar_5,0.14034388672961703,0.19542987786135502,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-06-30,2023-07-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.0613129805974495,1.1563663525338295,realized_amaya,cvar_5,0.11415890892530414,0.19345203612306855,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-07-31,2023-08-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.07583882220087723,0.5626273804165761,realized_amaya,cvar_5,0.09665793875624541,0.19142548405932544,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-08-31,2023-09-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.09036466380430495,-0.21866419869737325,realized_amaya,cvar_5,0.12669352750436003,0.18976976928284697,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-09-29,2023-10-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.09036466380430495,-1.224501786793204,realized_amaya,cvar_5,0.11315586874888267,0.18826342778297098,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-10-31,2023-11-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.09036466380430495,-0.5205595648615631,realized_amaya,cvar_5,0.15131810506120935,0.1871654015295978,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-11-30,2023-12-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.09308808674604602,1.8654918051069498,realized_amaya,cvar_5,0.12616791103304303,0.1860431016993839,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-12-29,2024-01-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.09581150968778707,0.09581150968778707,0.5605285835574597,realized_amaya,cvar_5,0.10259151297311155,0.1845010804541926,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.75,0.000375,0.7,0.2,0.1,0.0
2024-01-31,2024-02-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.08995229386013628,0.09581150968778707,0.08259530019302186,realized_amaya,cvar_5,0.12513467585574176,0.1829160018608861,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-02-29,2024-03-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.08995229386013628,0.09581150968778707,0.8070442636363666,realized_amaya,cvar_5,0.14588695521847286,0.18213009031057614,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-03-28,2024-04-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0801695323966641,0.09308808674604602,0.6134879786530743,realized_amaya,cvar_5,0.10383004480985053,0.18072417968126522,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-04-30,2024-05-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0801695323966641,0.09036466380430495,-0.5625801955965618,realized_amaya,cvar_5,0.14576783508412358,0.17967955356451548,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-05-31,2024-06-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0801695323966641,0.09036466380430495,1.1420631159800394,realized_amaya,cvar_5,0.09683767420665612,0.17835646761336132,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-06-28,2024-07-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.057053167308999855,0.09036466380430495,1.8908993460865544,realized_amaya,cvar_5,0.07732307606074115,0.1768705043181808,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-07-31,2024-08-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.057053167308999855,0.09015847883222061,-0.5359926973592983,realized_amaya,cvar_5,0.1585648416625441,0.1761175388569944,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-08-30,2024-09-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.8669883296842391,1.0,0.8669883296842391,False,0.057053167308999855,0.08995229386013628,-0.1918139191841553,realized_amaya,cvar_5,0.20410176722376464,0.17695385025093308,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.1330116703157609,6.650583515788045e-05,0.6068918307789674,0.17339766593684783,0.08669883296842391,0.1330116703157609
2024-09-30,2024-10-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.04577153577911873,0.08995229386013628,-0.4806093913485223,realized_amaya,cvar_5,0.1500122324510061,0.1764565397478691,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.1330116703157609,6.650583515788045e-05,0.7,0.2,0.1,0.0
2024-10-31,2024-11-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.04577153577911873,0.08995229386013628,-1.0003672433198756,realized_amaya,cvar_5,0.11822283763536905,0.17502365139610773,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-11-29,2024-12-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.04577153577911873,0.0850609131284002,1.7288453084905884,realized_amaya,cvar_5,0.1548821745471451,0.17466613328319172,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-12-31,2025-01-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.04577153577911873,0.0801695323966641,-1.781514735428431,realized_amaya,cvar_5,0.1524647669190223,0.17423307942256494,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-01-31,2025-02-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.04577153577911873,0.0801695323966641,0.1814212457026146,realized_amaya,cvar_5,0.1440721932943855,0.17370349050160877,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-02-28,2025-03-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.04577153577911873,0.0801695323966641,-0.6716441119022892,realized_amaya,cvar_5,0.13818507243193462,0.17308136009212371,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-03-31,2025-04-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.8041962806261589,1.0,0.8041962806261589,False,0.054910065799341476,0.0801695323966641,-0.631233069119623,realized_amaya,cvar_5,0.21656291294025504,0.17415908910811975,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.1958037193738411,9.790185968692055e-05,0.5629373964383112,0.16083925612523178,0.08041962806261589,0.1958037193738411
2025-04-30,2025-05-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.36853584670501377,1.0,0.36853584670501377,False,0.054910065799341476,0.0801695323966641,0.9121409784465749,realized_amaya,cvar_5,0.5017875835503741,0.18492671196979996,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.4356604339211452,0.00021783021696057257,0.2579750926935096,0.07370716934100276,0.03685358467050138,0.6314641532949863
2025-05-30,2025-06-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.054910065799341476,0.0707412564970568,1.691663625918958,realized_amaya,cvar_5,0.17824449736548353,0.18481718877252487,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.6314641532949863,0.00031573207664749314,0.7,0.2,0.1,0.0
2025-06-30,2025-07-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05151519201017029,0.0613129805974495,0.5767804771567538,realized_amaya,cvar_5,0.10470959913097047,0.1837820960674686,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-07-31,2025-08-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05151519201017029,0.0613129805974495,0.5160257519342172,realized_amaya,cvar_5,0.07375282812519744,0.182336592819198,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-08-29,2025-09-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05151519201017029,0.0613129805974495,0.6390657741474279,realized_amaya,cvar_5,0.13024242107557144,0.1815190314351461,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-09-30,2025-10-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05151519201017029,0.0613129805974495,0.7468326628693945,realized_amaya,cvar_5,0.07478664285164062,0.18027106270037735,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-10-31,2025-11-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05151519201017029,0.0613129805974495,-0.9409473399522984,realized_amaya,cvar_5,0.1541260498910767,0.17968196320963778,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-11-28,2025-12-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05151519201017029,0.05918307395322468,-0.19379514532435954,realized_amaya,cvar_5,0.16570690248779077,0.17945798268176077,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-12-31,2026-01-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05151519201017029,0.057053167308999855,-0.5103600443759612,realized_amaya,cvar_5,0.0937552285167224,0.1783080908084673,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-01-30,2026-02-27,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.04208396039506895,0.057053167308999855,-0.6867425661339427,realized_amaya,cvar_5,0.1095805754590463,0.1774520201208757,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-02-27,2026-03-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.04208396039506895,0.057053167308999855,0.11722072027699465,realized_amaya,cvar_5,0.13758199065723387,0.1769901618047205,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-03-31,2026-04-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.9175632963549217,1.0,0.9175632963549217,False,0.05470224533758883,0.057053167308999855,0.10792986239804564,realized_amaya,cvar_5,0.1926553739420264,0.17677349997473582,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.08243670364507825,4.121835182253913e-05,0.6422943074484452,0.18351265927098437,0.09175632963549218,0.08243670364507827
2026-04-30,2026-05-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05470224533758883,0.057053167308999855,1.7306804958863469,realized_amaya,cvar_5,0.12185498492874922,0.17665799103298735,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.08243670364507825,4.121835182253913e-05,0.7,0.2,0.1,0.0
2026-05-29,2026-06-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.05470224533758883,0.055981616554170666,0.7940756408098008,realized_amaya,cvar_5,0.11128321798182736,0.17597228076904195,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-06-30,2026-07-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.8920007782929296,1.0,0.8920007782929296,False,0.05470224533758883,0.054910065799341476,-0.3755681293461063,realized_amaya,cvar_5,0.1975240063898187,0.17619156743125589,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.10799922170707042,5.399961085353521e-05,0.6244005448050507,0.1784001556585859,0.08920007782929296,0.10799922170707044
